"","lakestaday","upper.bound","lower.bound"
"352","Big Musky Lake 1 1984-01-10",1,17.1666666666667
"353","Big Musky Lake 1 1984-09-25",5,14
"354","Big Musky Lake 1 1984-10-15",11,16.5
"355","Big Musky Lake 1 1984-11-05",5,16
"356","Big Musky Lake 1 1984-08-13",5,10
"357","Big Musky Lake 1 1984-06-06",1,9
"358","Big Musky Lake 1 1984-07-03",4,9
"359","Big Musky Lake 1 1984-07-17",4,10
"360","Big Musky Lake 1 1984-08-01",6.5,10
"361","Big Musky Lake 1 1984-06-20",3.5,10.5
"362","Big Musky Lake 1 1984-09-04",6,12.5
"363","Big Musky Lake 1 1985-05-30",2.5,8
"364","Big Musky Lake 1 1985-05-14",3,8
"365","Big Musky Lake 1 1985-05-01",5,13.5
"366","Big Musky Lake 1 1985-08-21",1,11
"367","Big Musky Lake 1 1985-02-26",1,18
"368","Big Musky Lake 1 1985-03-27",1,18
"369","Big Musky Lake 1 1985-10-03",4,16
"370","Big Musky Lake 1 1985-10-25",5,14.7647058823529
"371","Big Musky Lake 1 1985-11-13",5,14.7647058823529
"372","Big Musky Lake 1 1985-01-09",1,12.6923076923077
"373","Big Musky Lake 1 1985-06-13",4,9.33333333333333
"374","Big Musky Lake 1 1985-09-11",4,12
"375","Big Musky Lake 1 1985-06-26",2,11
"376","Big Musky Lake 1 1985-07-09",3,8.5
"377","Big Musky Lake 1 1985-07-25",3,9
"378","Big Musky Lake 1 1985-08-08",5.5,10.6666666666667
"379","Big Musky Lake 1 1986-04-23",4.5,12.5
"380","Big Musky Lake 1 1986-05-19",3.5,8.8
"381","Big Musky Lake 1 1986-02-26",2,17
"382","Big Musky Lake 1 1986-04-01",2,17
"383","Big Musky Lake 1 1986-10-07",5,16
"384","Big Musky Lake 1 1986-11-05",5,14.7647058823529
"385","Big Musky Lake 1 1986-06-18",5.5,9.33333333333333
"386","Big Musky Lake 1 1986-09-10",4,13
"387","Big Musky Lake 1 1986-07-16",6.16666666666667,9.33333333333333
"388","Big Musky Lake 1 1986-08-12",4,10
"389","Big Musky Lake 1 1986-01-08",1,15.5
"390","Big Musky Lake 1 1987-03-24",3.83333333333333,14
"391","Big Musky Lake 1 1987-05-21",4.5,10
"392","Big Musky Lake 1 1987-04-16",1,15.5
"393","Big Musky Lake 1 1987-01-12",1,12
"394","Big Musky Lake 1 1987-02-25",1,12.3333333333333
"395","Big Musky Lake 1 1987-09-09",9,12
"396","Big Musky Lake 1 1987-10-06",2.5,15
"397","Big Musky Lake 1 1987-08-11",4.5,10
"398","Big Musky Lake 1 1987-06-11",2.5,8
"399","Big Musky Lake 1 1987-07-14",2.5,8
"400","Big Musky Lake 1 1987-11-04",5,17
"401","Big Musky Lake 1 1988-04-06",1,16.5
"402","Big Musky Lake 1 1988-03-01",1,15.5
"403","Big Musky Lake 1 1988-04-25",4,17.5
"404","Big Musky Lake 1 1988-09-12",2.5,12
"405","Big Musky Lake 1 1988-08-18",4.83333333333333,10
"406","Big Musky Lake 1 1988-07-20",2.5,9
"407","Big Musky Lake 1 1988-11-07",4,17.5
"408","Big Musky Lake 1 1988-06-22",4,8
"409","Big Musky Lake 1 1988-10-13",3.5,18
"410","Big Musky Lake 1 1988-05-25",2,7.66666666666667
"411","Big Musky Lake 1 1989-11-14",5,14.7647058823529
"412","Big Musky Lake 1 1989-05-02",5,14.7647058823529
"413","Big Musky Lake 1 1989-02-28",1,16.5
"414","Big Musky Lake 1 1989-08-22",5.25,9.33333333333333
"415","Big Musky Lake 1 1989-03-31",1,15.8333333333333
"416","Big Musky Lake 1 1989-01-17",1,15.5
"417","Big Musky Lake 1 1989-09-20",2.5,11
"418","Big Musky Lake 1 1989-06-27",6.5,9.33333333333333
"419","Big Musky Lake 1 1989-07-25",1.5,7.5
"420","Big Musky Lake 1 1989-05-31",2.5,7
"421","Big Musky Lake 1 1989-10-17",5,14.7647058823529
"422","Big Musky Lake 1 1990-03-29",1,14.5
"423","Big Musky Lake 1 1990-08-21",4,11
"424","Big Musky Lake 1 1990-02-20",2,15.5
"425","Big Musky Lake 1 1990-01-23",6,14.5
"426","Big Musky Lake 1 1990-05-01",5,11.3333333333333
"427","Big Musky Lake 1 1990-11-14",5,14.7647058823529
"428","Big Musky Lake 1 1990-06-26",2,10
"429","Big Musky Lake 1 1990-09-20",10.5,13.3333333333333
"430","Big Musky Lake 1 1990-07-26",3.5,10.5
"431","Big Musky Lake 1 1990-05-31",3.5,8.4
"432","Big Musky Lake 1 1990-10-19",5,14.25
"433","Big Musky Lake 1 1991-03-26",1,11
"434","Big Musky Lake 1 1991-01-14",1,17.5
"435","Big Musky Lake 1 1991-08-27",3,10.5
"436","Big Musky Lake 1 1991-07-01",2.5,7
"437","Big Musky Lake 1 1991-02-21",1,16.5
"438","Big Musky Lake 1 1991-10-29",2.75,14.7647058823529
"439","Big Musky Lake 1 1991-06-05",1.5,5
"440","Big Musky Lake 1 1991-09-24",6,14
"441","Big Musky Lake 1 1991-07-29",2.5,9.5
"442","Big Musky Lake 1 1991-05-06",2,13
"443","Big Musky Lake 1 1992-01-13",1,15
"444","Big Musky Lake 1 1992-05-05",2.5,14.5
"445","Big Musky Lake 1 1992-02-25",1,15.1666666666667
"446","Big Musky Lake 1 1992-03-27",1,16.1666666666667
"447","Big Musky Lake 1 1992-08-25",4,10
"448","Big Musky Lake 1 1992-09-23",6.5,14
"449","Big Musky Lake 1 1992-07-30",1.5,9.83333333333333
"450","Big Musky Lake 1 1992-06-03",1.5,5.66666666666667
"451","Big Musky Lake 1 1992-07-08",3.5,11.5
"452","Big Musky Lake 1 1992-10-19",2.5,15.5
"453","Big Musky Lake 1 1992-11-11",4,14.7647058823529
"454","Big Musky Lake 1 1993-01-06",1,14
"455","Big Musky Lake 1 1993-05-05",1,13.1428571428571
"456","Big Musky Lake 1 1993-03-24",1,16.5
"457","Big Musky Lake 1 1993-02-22",1,17
"458","Big Musky Lake 1 1993-09-21",2.5,13
"459","Big Musky Lake 1 1993-07-28",4.5,10
"460","Big Musky Lake 1 1993-08-26",4,11
"461","Big Musky Lake 1 1993-06-28",4.5,9
"462","Big Musky Lake 1 1993-10-19",5.5,14.7647058823529
"463","Big Musky Lake 1 1993-06-02",4.16666666666667,10.5
"464","Big Musky Lake 1 1993-11-10",2.16666666666667,14.7647058823529
"465","Big Musky Lake 1 1994-02-24",1,16.5
"466","Big Musky Lake 1 1994-03-30",1,18
"467","Big Musky Lake 1 1994-05-06",3.5,14.7647058823529
"468","Big Musky Lake 1 1994-01-11",3,16.5
"469","Big Musky Lake 1 1994-09-19",8.5,12
"470","Big Musky Lake 1 1994-07-25",4,9.8
"471","Big Musky Lake 1 1994-11-14",2,14.7647058823529
"472","Big Musky Lake 1 1994-06-29",2.5,8.5
"473","Big Musky Lake 1 1994-10-18",15,17.3333333333333
"474","Big Musky Lake 1 1994-08-26",6.16666666666667,10
"475","Big Musky Lake 1 1994-06-01",3.16666666666667,8
"476","Big Musky Lake 1 1995-03-23",1,14.8333333333333
"477","Big Musky Lake 1 1995-01-11",5,14.5
"478","Big Musky Lake 1 1995-05-03",5,12.6666666666667
"479","Big Musky Lake 1 1995-12-18",1,13.7142857142857
"480","Big Musky Lake 1 1995-02-21",1,13.8181818181818
"481","Big Musky Lake 1 1995-09-20",6.5,12
"482","Big Musky Lake 1 1995-07-25",3.5,8
"483","Big Musky Lake 1 1995-06-26",2,4.33333333333333
"484","Big Musky Lake 1 1995-10-16",3.5,17
"485","Big Musky Lake 1 1995-08-23",3.83333333333333,9.33333333333333
"486","Big Musky Lake 1 1995-05-30",3.25,10.5
"487","Big Musky Lake 1 1996-02-07",1,14.6666666666667
"488","Big Musky Lake 1 1996-04-09",2,16.5
"489","Big Musky Lake 1 1996-05-15",3.16666666666667,14.7647058823529
"490","Big Musky Lake 1 1996-09-03",2,9
"491","Big Musky Lake 1 1996-02-23",1,14.5
"492","Big Musky Lake 1 1996-10-02",4,13
"493","Big Musky Lake 1 1996-08-06",2.5,8
"494","Big Musky Lake 1 1996-06-10",2,7
"495","Big Musky Lake 1 1996-07-10",2.5,7
"496","Big Musky Lake 1 1996-11-06",5,15
"497","Big Musky Lake 1 1997-02-20",1,15.5
"498","Big Musky Lake 1 1997-05-06",6.5,13.5
"499","Big Musky Lake 1 1997-04-02",2,17
"500","Big Musky Lake 1 1997-01-15",1,16.5
"501","Big Musky Lake 1 1997-09-22",5,11
"502","Big Musky Lake 1 1997-10-22",1.5,17
"503","Big Musky Lake 1 1997-06-02",2,7
"504","Big Musky Lake 1 1997-06-30",2.5,6.5
"505","Big Musky Lake 1 1997-07-30",2.83333333333333,7
"506","Big Musky Lake 1 1997-11-12",3.5,14.7647058823529
"507","Big Musky Lake 1 1997-08-27",6,10
"508","Big Musky Lake 1 1998-05-18",3,8
"509","Big Musky Lake 1 1998-02-19",1,16.5
"510","Big Musky Lake 1 1998-04-23",3.5,15
"511","Big Musky Lake 1 1998-03-19",1,15.5
"512","Big Musky Lake 1 1998-09-08",4,11
"513","Big Musky Lake 1 1998-10-05",5,14
"514","Big Musky Lake 1 1998-08-11",1,9.5
"515","Big Musky Lake 1 1998-11-02",5,14.7647058823529
